frame,scenario_id,environment,snr_db,speed_kmph,ai_waveform,oracle_waveform,decision_correct,ACS,oracle_ACS,ACS_regret,BER,oracle_BER,BER_regret,relative_BER_regret
41,B,Urban,13.24,26.1,OTFS,OTFS,1.0,0.140299706795954,0.140299706795954,0.0,0.154166666666667,0.154166666666667,0.0,0.0
42,B,Urban,12.69,34.1,OTFS,OTFS,1.0,0.319786116447791,0.319786116447791,0.0,0.0013020833333333,0.0013020833333333,0.0,0.0
43,B,Urban,12.29,40.0,OTFS,OTFS,1.0,0.206802817659012,0.206802817659012,0.0,0.0190104166666667,0.0190104166666667,0.0,0.0
44,B,Urban,12.05,42.3,OTFS,OTFS,1.0,0.265199288064994,0.265199288064994,0.0,0.0052083333333333,0.0052083333333333,0.0,0.0
45,B,Urban,12.01,41.7,OTFS,OTFS,1.0,0.18505146482279,0.18505146482279,0.0,0.05859375,0.05859375,0.0,0.0
46,B,Urban,12.15,39.8,OTFS,OTFS,1.0,0.152033437407733,0.152033437407733,0.0,0.146614583333333,0.146614583333333,0.0,0.0
47,B,Urban,12.47,39.1,OTFS,OTFS,1.0,0.189131582597812,0.189131582597812,0.0,0.0533854166666667,0.0533854166666667,0.0,0.0
48,B,Urban,12.95,41.5,OTFS,OTFS,1.0,0.254473237689629,0.254473237689629,0.0,0.01015625,0.01015625,0.0,0.0
49,B,Urban,13.55,47.3,OTFS,OTFS,1.0,0.156622532982829,0.156622532982829,0.0,0.10859375,0.10859375,0.0,0.0
50,B,Urban,13.48,55.4,OTFS,OTFS,1.0,0.234417613125993,0.234417613125993,0.0,0.01796875,0.01796875,0.0,0.0
51,B,HighSpeedRail,6.23,335.7,OTFS,OTFS,1.0,0.17200504697224,0.17200504697224,0.0,0.075,0.0489583333333333,0.0260416666666667,0.531914893617021
52,B,HighSpeedRail,6.22,350.0,OTFS,OTFS,1.0,0.15113524743953,0.15113524743953,0.0,0.122395833333333,0.0604166666666667,0.0619791666666667,1.02586206896552
