speed_kmph_rounded,doppler_hz,strategy,waveform,BER,throughput_bps,CQI,ACS
0.0,8.524415766175,ai_adaptive,OTFS,0.0,900000.0,15.0,0.983448108867959
0.0,8.524415766175,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.95693637206059
0.0,8.524415766175,fixed_otfs,OTFS,0.0,900000.0,15.0,0.983448108867959
0.0,8.524415766175,oracle,OTFS,0.0,900000.0,15.0,0.983448108867959
0.0,8.70972915239619,ai_adaptive,OTFS,0.0,900000.0,15.0,0.980951862182263
0.0,8.70972915239619,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.960182345294339
0.0,8.70972915239619,fixed_otfs,OTFS,0.0,900000.0,15.0,0.980951862182263
0.0,8.70972915239619,oracle,OTFS,0.0,900000.0,15.0,0.980951862182263
0.0,9.26566931105978,ai_adaptive,OTFS,0.00034722222222221665,825000.0,14.75,0.9247833162786451
0.0,9.26566931105978,fixed_oddm,ODDM,0.00034722222222221665,823391.8128654974,14.75,0.8991953611421399
0.0,9.26566931105978,fixed_otfs,OTFS,0.00034722222222221665,825000.0,14.75,0.9247833162786451
0.0,9.26566931105978,oracle,OTFS,0.00034722222222221665,825000.0,14.75,0.9247833162786451
10.0,10.0069228559446,ai_adaptive,OTFS,0.0,900000.0,15.0,0.978264210006994
10.0,10.0069228559446,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.960239392227263
10.0,10.0069228559446,fixed_otfs,OTFS,0.0,900000.0,15.0,0.978264210006994
10.0,10.0069228559446,oracle,OTFS,0.0,900000.0,15.0,0.978264210006994
10.0,10.1922362421658,ai_adaptive,OTFS,0.0,900000.0,15.0,0.988760811081926
10.0,10.1922362421658,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.958237236622139
10.0,10.1922362421658,fixed_otfs,OTFS,0.0,900000.0,15.0,0.988760811081926
10.0,10.1922362421658,oracle,OTFS,0.0,900000.0,15.0,0.988760811081926
10.0,10.5628630146081,ai_adaptive,OTFS,0.0,900000.0,15.0,0.980842971499087
10.0,10.5628630146081,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.959800076462958
10.0,10.5628630146081,fixed_otfs,OTFS,0.0,900000.0,15.0,0.980842971499087
10.0,10.5628630146081,oracle,OTFS,0.0,900000.0,15.0,0.980842971499087
10.0,11.1188031732717,ai_adaptive,OTFS,0.04409722222222229,0.0,8.833333333333334,0.24906856711057848
10.0,11.1188031732717,fixed_oddm,ODDM,0.042881944444444486,0.0,8.833333333333334,0.22689479274551483
10.0,11.1188031732717,fixed_otfs,OTFS,0.04409722222222229,0.0,8.833333333333334,0.24906856711057848
10.0,11.1188031732717,oracle,OTFS,0.04409722222222229,0.0,8.833333333333334,0.24906856711057848
10.0,12.2306834905989,ai_adaptive,OTFS,0.0,900000.0,15.0,0.981149860450856
10.0,12.2306834905989,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.959933570606226
10.0,12.2306834905989,fixed_otfs,OTFS,0.0,900000.0,15.0,0.981149860450856
10.0,12.2306834905989,oracle,OTFS,0.0,900000.0,15.0,0.981149860450856
10.0,12.7866236492625,ai_adaptive,OTFS,0.0,900000.0,15.0,0.988411482530145
10.0,12.7866236492625,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.959567973767411
10.0,12.7866236492625,fixed_otfs,OTFS,0.0,900000.0,15.0,0.988411482530145
10.0,12.7866236492625,oracle,OTFS,0.0,900000.0,15.0,0.988411482530145
10.0,14.0838173528109,ai_adaptive,OTFS,0.0,900000.0,15.0,0.988425493466343
10.0,14.0838173528109,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.95981627236854
10.0,14.0838173528109,fixed_otfs,OTFS,0.0,900000.0,15.0,0.988425493466343
10.0,14.0838173528109,oracle,OTFS,0.0,900000.0,15.0,0.988425493466343
10.0,14.4544441252533,ai_adaptive,OTFS,0.0,900000.0,15.0,0.980005143247453
10.0,14.4544441252533,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.961509576629765
10.0,14.4544441252533,fixed_otfs,OTFS,0.0,900000.0,15.0,0.980005143247453
10.0,14.4544441252533,oracle,OTFS,0.0,900000.0,15.0,0.980005143247453
10.0,14.8250708976956,ai_adaptive,OTFS,0.022159090909090875,572727.2727272727,12.818181818181818,0.7100119194856069
10.0,14.8250708976956,fixed_oddm,ODDM,0.07324810606060603,571610.845295056,12.0,0.6707243159656356
10.0,14.8250708976956,fixed_otfs,OTFS,0.022159090909090875,572727.2727272727,12.818181818181818,0.7100119194856069
10.0,14.8250708976956,oracle,OTFS,0.022159090909090875,572727.2727272727,12.818181818181818,0.7100119194856069
10.0,15.3810110563592,ai_adaptive,OTFS,0.0,900000.0,15.0,0.981978380531515
10.0,15.3810110563592,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.957122474746442
10.0,15.3810110563592,fixed_otfs,OTFS,0.0,900000.0,15.0,0.981978380531515
10.0,15.3810110563592,oracle,OTFS,0.0,900000.0,15.0,0.981978380531515
10.0,16.122264601244,ai_adaptive,OTFS,0.0,900000.0,15.0,0.980924746619813
10.0,16.122264601244,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.960697630615812
10.0,16.122264601244,fixed_otfs,OTFS,0.0,900000.0,15.0,0.980924746619813
10.0,16.122264601244,oracle,OTFS,0.0,900000.0,15.0,0.980924746619813
10.0,16.6782047599076,ai_adaptive,OTFS,0.09769345238095233,0.0,6.714285714285714,0.20975658360620741
10.0,16.6782047599076,fixed_oddm,ODDM,0.10059523809523808,0.0,6.571428571428571,0.18046528383851787
10.0,16.6782047599076,fixed_otfs,OTFS,0.09769345238095233,0.0,6.714285714285714,0.20975658360620741
10.0,16.6782047599076,oracle,OTFS,0.09769345238095233,0.0,6.714285714285714,0.20975658360620741
10.0,17.975398463456,ai_adaptive,OTFS,0.0,900000.0,15.0,0.980108366113747
10.0,17.975398463456,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.958401318168054
10.0,17.975398463456,fixed_otfs,OTFS,0.0,900000.0,15.0,0.980108366113747
10.0,17.975398463456,oracle,OTFS,0.0,900000.0,15.0,0.980108366113747
10.0,18.3460252358984,ai_adaptive,OTFS,0.0020833333333333,0.0,13.0,0.332145230316438
10.0,18.3460252358984,fixed_oddm,ODDM,0.0010416666666666,0.0,15.0,0.344750478777409
10.0,18.3460252358984,fixed_otfs,OTFS,0.0020833333333333,0.0,13.0,0.332145230316438
10.0,18.3460252358984,oracle,ODDM,0.0010416666666666,0.0,15.0,0.344750478777409
10.0,18.5313386221196,ai_adaptive,OTFS,0.0,900000.0,15.0,0.989459416149751
10.0,18.5313386221196,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.967236663967693
10.0,18.5313386221196,fixed_otfs,OTFS,0.0,900000.0,15.0,0.989459416149751
10.0,18.5313386221196,oracle,OTFS,0.0,900000.0,15.0,0.989459416149751
10.0,37.0626772442391,ai_adaptive,ODDM,0.0032552083333333,224561.403508772,13.25,0.461370871553255
10.0,37.0626772442391,ai_adaptive,OTFS,0.0026185344827586,354000.0,13.6,0.5800055395116497
10.0,37.0626772442391,fixed_oddm,ODDM,0.004583732439335866,295994.4272669123,13.11111111111111,0.5107606665627354
10.0,37.0626772442391,fixed_otfs,OTFS,0.002438537675606611,196666.66666666666,13.666666666666666,0.4738176765929319
10.0,37.0626772442391,oracle,ODDM,0.0,898245.614035088,15.0,0.959540787070665
10.0,37.0626772442391,oracle,OTFS,0.002678250718390775,221250.0,13.5,0.486462367393768
10.0,40.768944968663,ai_adaptive,ODDM,0.060590277777777764,299415.20467836264,9.0,0.38302496689162596
10.0,40.768944968663,ai_adaptive,OTFS,0.015234375,450000.0,12.5,0.5776884801563473
10.0,40.768944968663,fixed_oddm,ODDM,0.042038690476190466,384962.4060150377,10.428571428571429,0.47396775879875214
10.0,40.768944968663,fixed_otfs,OTFS,0.03273809523809524,385714.28571428574,11.142857142857142,0.5128914011247857
10.0,40.768944968663,oracle,ODDM,0.0,898245.614035088,15.0,0.909899191238352
10.0,40.768944968663,oracle,OTFS,0.03819444444444445,300000.0,10.5,0.44897012694297583
10.0,41.5101985135478,ai_adaptive,ODDM,0.0,898245.614035088,15.0,0.965351615837947
10.0,41.5101985135478,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.965351615837947
10.0,41.5101985135478,fixed_otfs,OTFS,0.0,900000.0,15.0,0.987619421728712
10.0,41.5101985135478,oracle,OTFS,0.0,900000.0,15.0,0.987619421728712
10.0,42.622078830875,ai_adaptive,ODDM,0.0,898245.614035088,15.0,0.961081670199167
10.0,42.622078830875,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.961081670199167
10.0,42.622078830875,fixed_otfs,OTFS,0.0,900000.0,15.0,0.976423505838167
10.0,42.622078830875,oracle,OTFS,0.0,900000.0,15.0,0.976423505838167
10.0,44.1045859206446,ai_adaptive,ODDM,0.0,898245.614035088,15.0,0.966003850699172
10.0,44.1045859206446,ai_adaptive,OTFS,0.0086206896551724,0.0,11.0,0.277144529962628
10.0,44.1045859206446,fixed_oddm,ODDM,0.00323275862068965,449122.807017544,13.0,0.6156167285097905
10.0,44.1045859206446,fixed_otfs,OTFS,0.00457076149425285,0.0,13.0,0.3280713570164765
10.0,44.1045859206446,oracle,ODDM,0.0,898245.614035088,15.0,0.966003850699172
10.0,44.1045859206446,oracle,OTFS,0.0086206896551724,0.0,11.0,0.277144529962628
10.0,44.4752126930869,ai_adaptive,ODDM,0.04947916666666657,299415.20467836264,9.333333333333334,0.43799900332557334
10.0,44.4752126930869,ai_adaptive,OTFS,0.011805555555555567,600000.0,12.666666666666666,0.7285529076000103
10.0,44.4752126930869,fixed_oddm,ODDM,0.0313368055555555,449122.807017544,10.833333333333334,0.5705866934518112
10.0,44.4752126930869,fixed_otfs,OTFS,0.026475694444444448,450000.0,11.166666666666666,0.5976225535321401
10.0,44.4752126930869,oracle,OTFS,0.026475694444444448,450000.0,11.166666666666666,0.5976225535321401
10.0,44.8458394655293,ai_adaptive,OTFS,0.0,900000.0,15.0,0.979013689676581
10.0,44.8458394655293,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.956586025713417
10.0,44.8458394655293,fixed_otfs,OTFS,0.0,900000.0,15.0,0.979013689676581
10.0,44.8458394655293,oracle,OTFS,0.0,900000.0,15.0,0.979013689676581
10.0,45.2164662379717,ai_adaptive,ODDM,0.0,898245.614035088,15.0,0.963618366190873
10.0,45.2164662379717,fixed_oddm,ODDM,0.0,898245.614035088,15.0,0.963618366190873
10.0,45.2164662379717,fixed_otfs,OTFS,0.0,900000.0,15.0,0.988721959605862
10.0,45.2164662379717,oracle,OTFS,0.0,900000.0,15.0,0.988721959605862
10.0,46.6989733277413,ai_adaptive,OTFS,0.0,870000.0,15.0,0.976517729473822
