cond_id,profile,speed_kmph,snr_db,modulation,carrier_hz,doppler_hz,num_paths,delay_spread_taps,doppler_spread_hz,nTrials,label,BER_total,SER_total,PER_mean,Thr_mean,SE_mean,EVM_mean,CQI_mean,SINR_mean,Lat_mean,Run_mean
57,EPA,350,15,4,4e+09,1297.19,7,0,1295.52,2,ODDM (LMMSE),0.002604166667,0.005208333333,0.5,449122.807,0.9356725146,7.216878365,13.5,88.40620619,61.98625,0.0682201
58,EPA,350,15,16,4e+09,1297.19,7,0,1295.52,2,OTFS (MRC),0.04270833333,0.1588541667,1,0,0,23.89171591,10,13.51798474,9.2261,0.0125095
58,EPA,350,15,16,4e+09,1297.19,7,0,1295.52,2,ODDM (LMMSE),0.1598958333,0.5166666667,1,0,0,49.47893439,6.5,6.400212484,63.41895,0.06941195
59,EPA,350,20,4,4e+09,1297.19,7,0,1295.52,2,OTFS (MRC),0,0,0,900000,1.875,0,15,160,10.0801,0.01318785
59,EPA,350,20,4,4e+09,1297.19,7,0,1295.52,2,ODDM (LMMSE),0,0,0,898245.614,1.871345029,0,15,160,63.06945,0.0692757
60,EPA,350,20,16,4e+09,1297.19,7,0,1295.52,2,OTFS (MRC),0.003385416667,0.01354166667,0.5,900000,1.875,5.239210277,14,89.79704175,9.4874,0.0127861
60,EPA,350,20,16,4e+09,1297.19,7,0,1295.52,2,ODDM (LMMSE),0.03776041667,0.1432291667,1,0,0,19.43148203,11.5,18.45168686,63.88095,0.0700726
61,EVA,0,-5,4,4e+09,0,9,1,0,2,OTFS (MRC),0.2731770833,0.4677083333,1,0,0,104.5292583,3,-0.3844721795,23.333,0.02742105
61,EVA,0,-5,4,4e+09,0,9,1,0,2,ODDM (LMMSE),0.2658854167,0.4677083333,1,0,0,103.1245824,3,-0.2669430012,65.71735,0.07652065
62,EVA,0,-5,16,4e+09,0,9,1,0,2,OTFS (MRC),0.4361979167,0.8744791667,1,0,0,135.6637425,2.5,-2.480854401,13.63355,0.01551445
62,EVA,0,-5,16,4e+09,0,9,1,0,2,ODDM (LMMSE),0.433984375,0.9213541667,1,0,0,98.03923867,3.5,0.2112009699,68.43945,0.07932985
63,EVA,0,0,4,4e+09,0,9,1,0,2,OTFS (MRC),0.1466145833,0.2739583333,1,0,0,76.56724345,4.5,2.320651662,8.97515,0.01092745
63,EVA,0,0,4,4e+09,0,9,1,0,2,ODDM (LMMSE),0.1408854167,0.2635416667,1,0,0,75.06912377,5,2.490806454,69.22075,0.0789543
64,EVA,0,0,16,4e+09,0,9,1,0,2,OTFS (MRC),0.3803385417,0.821875,1,0,0,117.1242351,3,-0.7975945236,20.6263,0.02291435
64,EVA,0,0,16,4e+09,0,9,1,0,2,ODDM (LMMSE),0.406640625,0.9114583333,1,0,0,91.98677422,3.5,0.8214823796,65.6442,0.07540185
65,EVA,0,5,4,4e+09,0,9,1,0,2,OTFS (MRC),0.03359375,0.0671875,1,0,0,36.51006234,7.5,8.786965064,9.5906,0.01156365
65,EVA,0,5,4,4e+09,0,9,1,0,2,ODDM (LMMSE),0.0296875,0.05833333333,1,0,0,34.45481665,8,9.256338868,67.6085,0.07852405
66,EVA,0,5,16,4e+09,0,9,1,0,2,OTFS (MRC),0.3154947917,0.7182291667,1,0,0,100.7485961,4,1.155834588,10.3577,0.0122281
66,EVA,0,5,16,4e+09,0,9,1,0,2,ODDM (LMMSE),0.3782552083,0.8895833333,1,0,0,86.40862569,4,1.435214133,65.9002,0.07595035
67,EVA,0,10,4,4e+09,0,9,1,0,2,OTFS (MRC),0.001041666667,0.002083333333,1,0,0,6.235024398,14.5,24.4268061,10.63565,0.01244235
67,EVA,0,10,4,4e+09,0,9,1,0,2,ODDM (LMMSE),0.0005208333333,0.001041666667,0.5,449122.807,0.9356725146,3.227486122,15,91.90105621,70.5126,0.08075845
68,EVA,0,10,16,4e+09,0,9,1,0,2,OTFS (MRC),0.2479166667,0.5473958333,1,0,0,83.12004489,5.5,3.943442818,19.20175,0.0211794
68,EVA,0,10,16,4e+09,0,9,1,0,2,ODDM (LMMSE),0.3282552083,0.80625,1,0,0,79.06612182,4.5,2.306839719,70.74695,0.0835906
69,EVA,0,15,4,4e+09,0,9,1,0,2,OTFS (MRC),0,0,0,900000,1.875,0,15,160,14.79625,0.0167523
69,EVA,0,15,4,4e+09,0,9,1,0,2,ODDM (LMMSE),0,0,0,898245.614,1.871345029,0,15,160,73.1917,0.08461155
70,EVA,0,15,16,4e+09,0,9,1,0,2,OTFS (MRC),0.198046875,0.4255208333,1,0,0,59.20261511,9,12.11685448,12.9471,0.0148734
70,EVA,0,15,16,4e+09,0,9,1,0,2,ODDM (LMMSE),0.2165364583,0.5109375,1,0,0,56.93687481,7,6.923990541,66.94475,0.07826545
71,EVA,0,20,4,4e+09,0,9,1,0,2,OTFS (MRC),0,0,0,900000,1.875,0,15,160,10.77065,0.01292775
71,EVA,0,20,4,4e+09,0,9,1,0,2,ODDM (LMMSE),0,0,0,898245.614,1.871345029,0,15,160,67.22145,0.07772145
72,EVA,0,20,16,4e+09,0,9,1,0,2,OTFS (MRC),0.1458333333,0.3661458333,0.5,900000,1.875,40.53068574,9.5,80.91186053,12.45635,0.01440565
72,EVA,0,20,16,4e+09,0,9,1,0,2,ODDM (LMMSE),0.1756510417,0.4416666667,0.5,898245.614,1.871345029,40.30866968,9.5,80.93571539,66.6295,0.0771367
73,EVA,50,-5,4,4e+09,185.313,9,1,185.074,2,OTFS (MRC),0.3075520833,0.525,1,0,0,110.753847,3,-0.8745294439,13.9662,0.0182842
73,EVA,50,-5,4,4e+09,185.313,9,1,185.074,2,ODDM (LMMSE),0.2807291667,0.4755208333,1,0,0,105.9239013,3,-0.496280466,66.9699,0.07789395
74,EVA,50,-5,16,4e+09,185.313,9,1,185.074,2,OTFS (MRC),0.419140625,0.8765625,1,0,0,126.1196425,2.5,-1.924868548,12.87915,0.01649915
74,EVA,50,-5,16,4e+09,185.313,9,1,185.074,2,ODDM (LMMSE),0.4002604167,0.9125,1,0,0,90.64787522,4,0.8533062782,75.98955,0.0862837
75,EVA,50,0,4,4e+09,185.313,9,1,185.074,2,OTFS (MRC),0.18359375,0.3291666667,1,0,0,85.00671622,4.5,1.482199792,10.56145,0.0138801
75,EVA,50,0,4,4e+09,185.313,9,1,185.074,2,ODDM (LMMSE),0.16875,0.3005208333,1,0,0,81.93141937,4.5,1.755152264,67.4572,0.0771953
76,EVA,50,0,16,4e+09,185.313,9,1,185.074,2,OTFS (MRC),0.3559895833,0.8125,1,0,0,102.1387648,3.5,0.08940476825,18.2383,0.02218885
76,EVA,50,0,16,4e+09,185.313,9,1,185.074,2,ODDM (LMMSE),0.3522135417,0.89375,1,0,0,80.42547673,4,1.897281175,69.6415,0.08034835
77,EVA,50,5,4,4e+09,185.313,9,1,185.074,2,OTFS (MRC),0.05703125,0.109375,1,0,0,44.96720833,7,7.537847262,14.72895,0.01805675
77,EVA,50,5,4,4e+09,185.313,9,1,185.074,2,ODDM (LMMSE),0.05625,0.1078125,1,0,0,45.94576474,7,7.050872325,72.40385,0.08465595
78,EVA,50,5,16,4e+09,185.313,9,1,185.074,2,OTFS (MRC),0.2610677083,0.665625,1,0,0,76.57467199,5,2.857003244,20.107,0.0237268
78,EVA,50,5,16,4e+09,185.313,9,1,185.074,2,ODDM (LMMSE),0.3125,0.8541666667,1,0,0,72.60951116,4.5,2.789033819,73.20305,0.08543125
79,EVA,50,10,4,4e+09,185.313,9,1,185.074,2,OTFS (MRC),0.005729166667,0.01145833333,0.5,450000,0.9375,10.70436048,12.5,86.69409278,14.2766,0.0181671
